farm_id,region,crop_type,soil_moisture_%,soil_pH,temperature_C,rainfall_mm,humidity_%,sunlight_hours,irrigation_type,fertilizer_type,pesticide_usage_ml,sowing_date,harvest_date,total_days,yield_kg_per_hectare,sensor_id,timestamp,latitude,longitude,NDVI_index,crop_disease_status,highest_recorded_price_per_kg,potential_revenue_per_hectare,lowest_production_cost_per_hectare
FARM0117,South India,Soybean,35.35,6.62,24.59,267.37,56.65,9.74,Drip,Organic,47.17,2024-03-04,2024-07-19,137,599829.0,SENS0117,2024-07-04,32.861032,83.912526,0.72,Severe,0.46231943289731503,277312.60311536357,740.2964580003476
FARM0250,North India,Soybean,26.46,5.88,31.83,254.31,81.41,4.73,Sprinkler,Inorganic,39.71,2024-02-08,2024-06-24,137,597814.0,SENS0250,2024-03-29,21.520866,85.419919,0.61,Mild,0.46231943289731503,276381.02945807547,619.8868470918252
FARM0265,Central USA,Soybean,13.14,6.84,23.47,137.08,56.04,7.56,Drip,Inorganic,12.62,2024-02-20,2024-07-11,142,596064.0,SENS0265,2024-06-12,25.579554,78.809268,0.85,Mild,0.46231943289731503,275571.9704505052,770.1480594932975
FARM0163,South USA,Cotton,40.9,6.46,16.75,145.75,60.96,7.86,Sprinkler,Mixed,49.73,2024-03-26,2024-06-25,91,595761.0,SENS0163,2024-06-25,18.977803,80.890356,0.59,Moderate,1.3917337376867303,829140.6832979841,710.3122657979586
FARM0081,South India,Maize,25.02,6.73,19.81,154.14,73.22,4.51,Manual,Organic,47.9,2024-03-17,2024-08-04,140,595333.0,SENS0081,2024-03-22,19.761343,79.402702,0.68,Moderate,0.1865341057790114,111049.90879573619,480.37941992096603
FARM0342,East Africa,Soybean,36.73,6.18,29.2,57.19,80.73,5.33,Sprinkler,Mixed,15.2,2024-01-07,2024-04-14,98,592444.0,SENS0342,2024-03-01,27.270453,85.680594,0.35,Severe,0.46231943289731503,273898.3741034169,693.7495230392319
FARM0221,South USA,Maize,11.41,7.02,19.63,116.09,51.7,8.01,Manual,Inorganic,26.14,2024-02-02,2024-05-04,92,592236.0,SENS0221,2024-03-14,12.580625,89.368828,0.68,Moderate,0.1865341057790114,110472.21267013859,472.14850996812385
FARM0370,North India,Soybean,12.06,6.17,19.7,277.06,89.84,9.64,Drip,Organic,16.41,2024-03-13,2024-06-30,109,591010.0,SENS0370,2024-06-06,19.27253,89.361156,0.64,Mild,0.46231943289731503,273235.4080366422,619.8868470918252
FARM0196,South India,Wheat,24.56,6.68,31.05,219.6,49.06,6.28,Manual,Mixed,6.3,2024-03-27,2024-08-10,136,589378.0,SENS0196,2024-04-29,22.076991,79.762456,0.83,Severe,0.36990663654980654,218014.8336364519,549.9158592274526
FARM0361,South India,Soybean,14.28,7.11,21.59,196.08,59.5,8.49,Sprinkler,Inorganic,14.81,2024-01-06,2024-04-18,103,587969.0,SENS0361,2024-03-02,20.209389,87.257999,0.33,Moderate,0.46231943289731503,271829.4946412014,740.2964580003476
FARM0202,South India,Cotton,38.86,5.88,21.76,239.29,42.33,7.8,Drip,Inorganic,25.58,2024-03-17,2024-06-23,98,585542.0,SENS0202,2024-03-17,23.259109,70.971432,0.86,Severe,1.3917337376867303,814918.5562325635,622.1060942094696
FARM0359,East Africa,Cotton,24.77,7.31,19.04,118.18,41.46,8.74,Manual,Mixed,29.78,2024-03-28,2024-06-28,92,585515.0,SENS0359,2024-05-29,29.555844,71.106545,0.84,Moderate,1.3917337376867303,814880.9794216459,816.4572851949848
FARM0209,South India,Maize,30.89,7.05,27.51,260.78,55.06,8.74,Manual,Organic,40.28,2024-02-17,2024-05-31,104,582795.0,SENS0209,2024-04-23,11.704412,80.102807,0.55,Severe,0.1865341057790114,108711.14417747894,480.37941992096603
FARM0092,North India,Wheat,11.59,6.78,26.54,212.78,78.35,6.5,Drip,Inorganic,45.0,2024-03-10,2024-07-19,131,582660.0,SENS0092,2024-07-11,16.121948,86.146986,0.54,Severe,0.36990663654980654,215529.8008521103,586.9320652706423
FARM0471,East Africa,Maize,19.71,6.96,23.44,187.46,53.03,7.9,Sprinkler,Inorganic,25.52,2024-02-22,2024-06-18,117,576080.0,SENS0471,2024-03-11,23.397608,71.411161,0.74,Mild,0.1865341057790114,107458.56765717288,577.1401222223404
FARM0016,Central USA,Maize,15.52,7.17,29.07,202.92,89.36,7.92,Drip,Mixed,41.77,2024-02-22,2024-05-28,96,575572.0,SENS0016,2024-03-10,16.611648,87.794254,0.75,Mild,0.1865341057790114,107363.80833143715,488.31282270570273
FARM0462,Central USA,Soybean,26.74,7.16,24.9,226.04,58.84,9.89,Manual,Organic,42.25,2024-01-28,2024-06-12,136,573773.0,SENS0462,2024-03-25,27.510185,71.051326,0.82,Mild,0.46231943289731503,265266.4079717911,770.1480594932975
FARM0244,South USA,Wheat,13.34,7.37,24.46,63.46,78.55,7.14,Drip,Organic,16.81,2024-01-03,2024-05-13,131,572636.0,SENS0244,2024-04-11,17.734266,74.94793,0.47,Mild,0.36990663654980654,211821.85672733502,424.05056851215187
FARM0280,East Africa,Soybean,38.7,5.92,18.7,63.77,57.45,4.87,Drip,Mixed,31.01,2024-03-10,2024-06-29,111,568154.0,SENS0280,2024-03-16,12.722191,89.874704,0.4,Moderate,0.46231943289731503,262668.6350783411,693.7495230392319
FARM0154,Central USA,Rice,18.93,5.71,26.48,230.69,51.42,7.05,Drip,Organic,16.0,2024-02-12,2024-06-05,114,568091.0,SENS0154,2024-03-05,33.279002,87.149704,0.63,Severe,0.34828616632929943,197858.23651617803,660.7376749933597
FARM0449,South India,Maize,31.19,7.39,17.95,111.85,68.92,7.98,Sprinkler,Organic,10.25,2024-01-21,2024-06-04,135,566753.0,SENS0449,2024-05-01,27.651744,89.482912,0.35,Mild,0.1865341057790114,105718.76405257203,480.37941992096603
FARM0287,Central USA,Wheat,19.5,5.67,32.54,142.9,81.47,5.82,Manual,Organic,10.05,2024-01-25,2024-05-06,102,565342.0,SENS0287,2024-03-21,22.649867,85.980506,0.84,Mild,0.36990663654980654,209123.75772034074,448.10983787647996
FARM0207,North India,Cotton,23.56,7.41,34.52,128.16,67.61,4.08,Manual,Organic,32.93,2024-02-27,2024-06-10,104,564595.0,SENS0207,2024-05-27,27.738636,77.354822,0.65,Mild,1.3917337376867303,785765.9096292395,893.535549983372
FARM0270,East Africa,Maize,17.9,6.18,22.86,84.32,76.49,7.12,Sprinkler,Inorganic,15.82,2024-01-14,2024-05-02,109,563894.0,SENS0270,2024-02-25,21.22923,72.635443,0.69,Mild,0.1865341057790114,105185.46304414984,577.1401222223404
FARM0040,North India,Rice,20.08,6.07,32.19,67.79,51.67,5.59,Sprinkler,Inorganic,10.16,2024-01-21,2024-04-29,99,563365.0,SENS0040,2024-02-08,11.785246,73.318456,0.48,Moderate,0.34828616632929943,196212.23609410579,775.1484630953987
FARM0031,South USA,Maize,36.84,5.84,27.14,236.98,45.73,8.92,Manual,Organic,31.04,2024-02-19,2024-07-01,133,563210.0,SENS0031,2024-05-25,19.916361,84.300294,0.35,Mild,0.1865341057790114,105057.873715797,472.14850996812385
FARM0242,South USA,Wheat,23.34,6.07,27.63,86.21,48.38,8.85,Manual,Inorganic,33.41,2024-03-13,2024-08-04,144,562829.0,SENS0242,2024-04-02,14.049987,74.564359,0.49,Moderate,0.36990663654980654,208194.18234269106,424.05056851215187
FARM0184,South India,Soybean,36.79,7.3,31.11,250.59,70.0,7.96,Sprinkler,Mixed,6.15,2024-02-10,2024-05-26,106,562765.0,SENS0184,2024-04-01,19.706873,70.70638,0.72,Mild,0.46231943289731503,260177.1956544575,740.2964580003476
FARM0009,Central USA,Soybean,40.54,6.35,19.24,184.82,76.5,5.21,Manual,Inorganic,49.78,2024-03-12,2024-07-08,118,559846.0,SENS0009,2024-05-08,13.025105,74.493947,0.5,Mild,0.46231943289731503,258827.68522983024,770.1480594932975
FARM0021,North India,Maize,16.25,7.43,20.31,77.1,61.73,8.37,Manual,Inorganic,32.28,2024-03-04,2024-06-26,114,559802.0,SENS0021,2024-03-28,16.368063,84.175706,0.3,Mild,0.1865341057790114,104422.16548330213,541.4618340913603
